Período: 1,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,CIN0001- INTRODUÇÃO À PROGRAMAÇÃO,Juliano Iyoda ,seg. 10:00-11:50 (Grad05) /  qui. 08:00-09:50 (Grad05)
EC,,CIN0002- LABORATÓRIO DE PROGRAMAÇÃO 1,Juliano Iyoda , ter. 10:00-11:50 (Grad05)
EC,,CIN0003- INTRODUÇÃO À COMPUTAÇÃO,Adriano Lorena Inácio de Oliveira , qua. 10:00-11:50 (E132)
Área 2,E10,MA036- GEOMETRIA ANALÍTICA,Docente Externo , ter. 08:00-09:50 qui. 10:00-11:50
Área 2,P5,MA026- CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo , qua. 08:00-09:50 sex. 10:00-11:50
Período: 2,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,CIN0004- FUNDAMENTOS DE ÁLGEBRA LINEAR,Silvio Melo ,ter. 13:00-14:50 (E132) /  sex. 13:00-14:50 (E132)
EC,,CIN0005- FUNDAMENTOS DE PROGRAMAÇÃO IMPERATIVA,Alexandre Cabral Mota ,seg. 13:00-14:50 (Grad05) /  qua. 15:00-16:50 (Grad05)
EC,,CIN0006- LABORATÓRIO DE PROGRAMAÇÃO 2,Alexandre Cabral Mota , seg. 15:00-16:50 (Grad05)
EC,,CIN0007- SISTEMAS DIGITAIS,Abel Guilhermino da Silva Filho ,ter. 15:00-16:50 (Sala 4 - Área 2) /  qui. 13:00-14:50 (Sala 4 - Área 2)
EC,,CIN0008- LABORATÓRIO DE SISTEMAS DIGITAIS,Victor Wanderley Costa de Medeiros , qui. 15:00-16:50 (Lab Hardw)
Área 2,S4,MA027- CALCULO DIFERENCIAL E INTEGRAL 2,Docente Externo , qua. 13:00-14:50 sex. 15:00-16:50
Período: 3,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,CIN0009- ALGORITMOS E ESTRUTURAS DE DADOS,Paulo Fonseca ,ter. 10:00-11:50 (Sala 11 - Área 2) /  qui. 08:00-09:50 (Sala 11 - Área 2)
EC,,CIN0010- MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,Caio Bezerra Souto Maior ,ter. 08:00-09:50 (E122) /  qui. 10:00-11:50 (E122)
EC,,CIN0011- ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,Edna Barros ,ter. 13:00-14:50 (Sala 8 - Área 2) /  qui. 15:00-16:50 (Sala 8 - Área 2)
EC,,CIN0012- LABORATÓRIO DE ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,Victor Wanderley Costa de Medeiros , ter. 15:00-16:50 (Lab Hardw)
Área 2,P5,FI006- FISICA GERAL 1,Docente Externo , seg. 08:00-09:50 qua. 10:00-11:50
Área 2,T1,MA128- CALCULO DIFERENCIAL E INTEGRAL 3,Docente Externo , seg. 08:00-09:50 qua. 10:00-11:50
Área 2,T7,MA128- CALCULO DIFERENCIAL E INTEGRAL 3,Docente Externo , seg. 10:00-11:50 qua. 08:00-09:50
Área 2,S3,FI007- FISICA GERAL 2,Docente Externo , seg. 13:00-14:50 qua. 15:00-16:50
Período: 4,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,CIN0016- ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Jamilson Ramalho Dantas ,ter. 15:00-16:50 (Sala 6 - Área 2) /  qui. 13:00-14:50 (Sala 6 - Área 2)
EC,,CIN0015- SISTEMAS OPERACIONAIS,Eduardo Tavares ,ter. 13:00-14:50 (E122) /  qui. 15:00-16:50 (E122)
Área 2,Y6,FI021- FISICA EXPERIMENTAL 1,Docente Externo , sex. 08:00-09:50 sex. 10:00-10:50
Área 2,Y7,FI021- FISICA EXPERIMENTAL 1,Docente Externo , sex. 08:00-09:50 sex. 10:00-10:50
Área 2,Y8,FI021- FISICA EXPERIMENTAL 1,Docente Externo , sex. 08:00-09:50 sex. 10:00-10:50
Área 2,Y9,FI021- FISICA EXPERIMENTAL 1,Docente Externo , sex. 08:00-09:50 sex. 10:00-10:50
Área 2,T1/T3/T2/T4,FI108- FISICA GERAL 3,Docente Externo , seg. 10:00-11:50 qua. 08:00-09:50
Área 2,T6/T7/T8,FI108- FISICA GERAL 3,Docente Externo , seg. 08:00-09:50 qua. 10:00-11:50
Área 2,,MA129- CALCULO DIFERENCIAL E INTEGRAL 4,Docente Externo , seg. 13:00-14:50 qua. 15:00-16:50
EC,,CIN0014- LÓGICA PARA COMPUTAÇÃO,Anjolina Grisi ,seg. 15:00-16:50 (E131) /  qua. 13:00-14:50 (E131)
EC,,CIN0013- INFORMÁTICA E SOCIEDADE,Carina Frota Alves , ter. 08:00-09:50 (E232)
EC,,IF817- INTERFACE HARDWARE-SOFTWARE,Andson Balieiro ,seg. 13:00-14:50 (E112) / qua. 13:00-14:50 (E112) /  sex. 12:00-12:50
Período: 5,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
Eng. Eletrônica e Sistemas,ECBIO,EL390- CIRCUITOS ELETRICOS 1,Docente Externo , ter. 13:00-14:50 qui. 13:00-14:50
Eng. Controle Automação,01A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , seg. 08:00-09:50
Eng. Controle Automação,02A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , seg. 10:00-11:50
Eng. Controle Automação,03A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , qui. 08:00-09:50
Eng. Controle Automação,04A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , qui. 10:00-11:50
Eng. Controle Automação,05A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , sex. 13:00-14:50
Eng. Controle Automação,06A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , sex. 15:00-16:50
EC,,CIN0033- TEORIA DA COMPUTAÇÃO,Ruy de Queiroz ,ter. 08:00-09:50 (E233) /  qui. 10:00-11:50 (E233)
EC,,CIN0017- COMPLEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO,Stefan Blawid ,seg. 08:00-09:50 (E122) /  qua. 10:00-11:50 (E122)
EC,,CIN0019- BANCO DE DADOS,Robson Fidalgo ,seg. 15:00-16:50 (E232) /  qua. 15:00-16:50 (E232)
