Órgão ofertante,Período,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
CC,,,CIN0168 - Fundamentos de Teste de Software,Paola Rodrigues de Godoy Accioly ,seg. 10:00-11:50 (E122) /  qua. 08:00-09:50 (E122)
CC,,,IF696- INTEG. DADOS WEB E WAREHOUSE,Robson Fidalgo ,seg. 13:00-14:50 (Grad04) / qua. 13:00-14:50 (Grad04) /  seg. 12:00-12:50 (Grad04)
CC,,,IF781- EMPREENDIMENTOS EM INFORMATICA,Fabio Silva ,ter. 13:00-14:50 (E232) / qui. 15:00-16:50 (E232) /  qui. 12:00-12:50 (E232)
CC,,,IF742- AVALIACAO DESEMPENHO DE SISTEMAS,Paulo Romero Martins Maciel ,ter. 08:00-09:50 (Grad04) / qui. 10:00-11:50 (Grad04) /  qui. 12:00-12:50 (Grad04)
CC,,,IF788- INICIACAO CIENTIFICA 1,Teresa Ludermir , ter. 17:00-18:50 ter. 18:50-20:30 ter. 20:30-21:20
CC,,,IF789- INICIACAO CIENTIFICA 2,Teresa Ludermir , qua. 17:00-18:50 qua. 18:50-20:30 qua. 20:30-21:20
CC,,,IF791- PROJETO DE MONITORIA 2,Valéria Cesário Times , qui. 6:00-6:50 sex. 6:00-6:50 sex. 20:30-21:20
CC,,,IF790- PROJETO DE MONITORIA 1,Valéria Cesário Times , seg. 6:00-6:50 ter. 6:00-6:50 qua. 6:00-6:50
CC,,,IF699- APRENDIZAGEM DE MAQUINA,Francisco de Assis Tenorio de Carvalho  / Leandro Maciel Almeida ,seg. 13:00-14:50 (E122) / qua. 15:00-16:50 (E122) /  seg. 12:00-12:50 (E122)
CC,,,IF716- ESPECIF.REQUIS.VALIDACAO SISTEMAS,Jaelson Castro ,seg. 13:00-14:50 (E233) / qua. 15:00-16:50 (E233) /  qua. 17:00-17:50 (E233)
CC,,,IF867- INTRODUÇÃO À APRENDIZAGEM PROFUNDA,Rodrigo Gabriel Ferreira Soares ,ter. 13:00-14:50 (E112) /  qui. 15:00-16:50 (E112)
CC,,,CIN0203 - PROGRAMAÇÃO COMPETITIVA,Gustavo Carvalho ,ter. 08:00-09:50 (Grad03) /  qui. 10:00-11:50 (Grad03)
CC,,,CIN0114 - Técnicas de Ataque e Detecção de Intrusão,Paulo Freitas Araújo Filho ,ter. 10:00-11:50 (Grad03) /  qui. 08:00-09:50 (Grad03)
CC,,,IF865- INTERFACES GRÁFICAS,Judith Kelner ,ter. 08:00-09:50 (E132) / qui. 10:00-11:50 (E132) /  qui. 12:00-12:50 (E132)
CC,,,IF722- TOPICOS AVANCADOS ENG. SOFTWARE,Augusto Sampaio ,ter. 10:00-11:50 (E112) / qui. 08:00-09:50 (E112) /  ter. 7:00-7:50
CC,,,IF738- REDES DE COMPUTADORES,Djamel Sadok ,seg. 08:00-09:50 (E112) / qua. 10:00-11:50 (E112) /  seg. 6:00-6:50
CC,,,IF763- ALGEBRA LINEAR AVANC. COMPUTACAO,Silvio Melo ,ter. 15:00-16:50 (E331) / sex. 15:00-16:50 (E331) /  ter. 7:00-7:50
CC,,,IF702- REDES NEURAIS,Germano Vasconcelos ,ter. 10:00-11:50 (Sala 15 - Área 2) / sex. 08:00-09:50 (Sala 11 - Área 2) /  ter. 12:00-12:50
