Período: 1,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
Área 2,E9,MA026- CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo , qua. 08:00-09:50 sex. 10:00-11:50
IA,,CIN0207- INTRODUÇÃO À INTELIGÊNCIA ARTIFICIAL,George Darmiton ,seg. 10:00-11:50 (E113) /  qui. 08:00-09:50 (E113)
IA,,CIN0132- MATEMÁTICA DISCRETA,Adenilton José da Silva ,ter. 10:00-11:50 (E231) /  sex. 08:00-09:50 (E231)
CC,,CIN0133- INTRODUÇÃO À PROGRAMAÇÃO,Ricardo Massa Ferreira Lima  / Márcio Lopes Cornélio ,seg. 08:00-09:50 (Grad05) / ter. 08:00-09:50 (Grad05) / qua. 10:00-11:50 (Grad05) /  qui. 10:00-11:50 (Grad05)
Período: 2,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
CC,,CIN0138- ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Paulo Salgado ,seg. 08:00-09:50 (Sala 4 - Área 2) /  qui. 10:00-11:50 (Sala 4 - Área 2)
CC,,CIN0136- DESENVOLVIMENTO DE SOFTWARE ,Fabio Silva  / Paola Rodrigues de Godoy Accioly ,seg. 13:00-14:50 (E132) / seg. 15:00-16:50 (E132) / ter. 15:00-16:50 (E132) /  qui. 13:00-14:50 (E132)
CC,,CIN0135- ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Gustavo Carvalho ,ter. 13:00-14:50 (Grad05) /  qui. 15:00-16:50 (Grad05)
IA,,CIN999-CIÊNCIA DE DADOS,Juscimara Gomes Avelino , sex. 13:00-14:50 (A014)
Área 2,,MA027- CALCULO DIFERENCIAL E INTEGRAL 2,Docente Externo , qua. 13:00-14:50 sex. 15:00-16:50
Período: 2,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
CC,,CIN0138- ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Paulo Salgado ,seg. 08:00-09:50 (Sala 4 - Área 2) /  qui. 10:00-11:50 (Sala 4 - Área 2)
CC,,CIN0136- DESENVOLVIMENTO DE SOFTWARE ,Fabio Silva  / Paola Rodrigues de Godoy Accioly ,seg. 13:00-14:50 (E132) / seg. 15:00-16:50 (E132) / ter. 15:00-16:50 (E132) /  qui. 13:00-14:50 (E132)
CC,,CIN0135- ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Gustavo Carvalho ,ter. 13:00-14:50 (Grad05) /  qui. 15:00-16:50 (Grad05)
IA,,CIN999-CIÊNCIA DE DADOS,Juscimara Gomes Avelino , sex. 13:00-14:50 (A014)
Área 2,,MA027- CALCULO DIFERENCIAL E INTEGRAL 2,Docente Externo , qua. 13:00-14:50 sex. 15:00-16:50
Período: 3,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
CC,,CIN0137 – BANCO DE DADOS,Valéria Cesário Times ,seg. 10:00-11:50 (E331) /  qua. 08:00-09:50 (E331)
CC,,CIN0142 – ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Jamilson Ramalho Dantas ,ter. 15:00-16:50 (A014) / qui. 13:00-14:50 (A014) / ter. 15:00-16:50 (A014) /  qui. 13:00-14:50 (A014)
CC,,CIN0140 – ALGORITMOS,Fernando Maciano de Paula Neto ,ter. 10:00-11:50 (E232) /  qui. 08:00-09:50 (E232)
IA,,CIN0210 – INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,Ricardo Prudêncio ,seg. 08:00-09:50 (E231) /  qua. 10:00-11:50 (E231)
IA,,CIN0209 – APRENDIZADO DE MÁQUINA 1,George Darmiton ,ter. 08:00-09:50 (E331) /  qui. 10:00-11:50 (E331)
