Período: 1,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0130- SISTEMAS DIGITAIS,Victor Wanderley Costa de Medeiros ,ter. 17:00-18:50 (E232) /  qui. 18:50-20:30 (E232)
SI,,CIN0131- CONCEPCAO DE ARTEFATOS DIGITAIS,Luiz Augusto Morais ,seg. 17:00-18:50 (E131) /  qua. 18:50-20:30 (E131)
SI,,CIN0132- MATEMÁTICA DISCRETA,Pedro Machado Manhães de Castro ,ter. 18:50-20:30 (E233) /  qui. 17:00-18:50 (E233)
SI,,CIN0133- INTRODUÇÃO À PROGRAMAÇÃO,Fernanda Madeiral Delfim ,seg. 18:50-20:30 (Grad05) / qua. 17:00-18:50 (Grad05) / sex. 17:00-18:50 (Grad05) /  sex. 18:50-20:30 (Grad05)
Período: 2,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0134- ARQUITETURA DE COMPUTADORES E SISTEMAS OPERACIONAIS,Sérgio Vanderlei Cavalcante ,seg. 17:00-18:50 (E233) /  qua. 18:50-20:30 (E233)
SI,,CIN0135- ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Francisco Paulo Magalhães Simões ,ter. 18:50-20:30 (Grad02) /  sex. 17:00-18:50 (Grad02)
SI,,CIN0136- DESENVOLVIMENTO DE SOFTWARE ,Vinicius Cardoso Garcia  / Kiev Gama ,seg. 18:50-20:30 (E132) / ter. 17:00-18:50 (E132) / qui. 17:00-18:50 (Grad04) /  qui. 18:50-20:30 (Grad04)
SI,,MA026- CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo ,qua. 17:00-18:50 (E132) /  sex. 18:50-20:30 (E132)
SI,,LE037 – LÍNGUA INGLESA INSTRUMENTAL,Docente Externo ,sex. 17:00-18:50 (E232) /  sex. 18:50-20:30 (E232)
Período: 3,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0139- INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Hermano Perrelli de Moura  / Paulemir Gonçalves Campos ,seg. 17:00-18:50 (E132) / qua. 18:50-20:30 (E132) / sex. 17:00-18:50 (Grad04) /  sex. 18:50-20:30 (Grad04)
SI,,CIN0137- BANCO DE DADOS,Flávio Arthur Oliveira Santos ,seg. 18:50-20:30 (E131) /  qua. 17:00-18:50 (E131)
SI,,CIN0140- ALGORITMOS,Delano Hélio Oliveira ,ter. 18:50-20:30 (Grad03) /  qui. 17:00-18:50 (Grad03)
SI,,CIN0138- ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Pedro Machado Manhães de Castro ,ter. 17:00-18:50 (E131) /  qui. 18:50-20:30 (E131)
SI,,CT503- CONTABILIDADE DE CUSTOS E GERENCIAL,Marcelo Jota Gomes ,qua. 17:00-18:50 (E112) /  sex. 18:50-20:30 (E112)
Período: ,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0192 – SISTEMAS DE APOIO À DECISÃO,Adiel Teixeira de Almeida Filho ,ter. 17:00-18:50 (Grad01) /  qui. 18:50-20:30 (Grad01)
SI,,EC477 – FINANÇAS DIGITAIS,José Carlos Cavalcanti ,qua. 18:50-20:30 (E112) /  sex. 17:00-18:50 (E112)
Período: 4,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0141- LÓGICA PARA COMPUTAÇÃO,Fred Freitas ,seg. 17:00-18:50 (E122) /  qua. 18:50-20:30 (E122)
SI,,CIN0142- ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Maíra Araújo de Santana ,seg. 18:50-20:30 (E232) /  qua. 17:00-18:50 (E232)
SI,,CIN0143- INTRODUÇÃO A SISTEMAS DISTRIBUÍDOS E REDES DECOMPUTADORES,David Junio Mota Cavalcanti ,ter. 18:50-20:30 (Grad05) /  qui. 17:00-18:50 (Grad05)
SI,,CIN0144- APRENDIZADO DE MÁQUINA E CIÊNCIA DE DADOS,Juscimara Gomes Avelino  / Rodrigo Gabriel Ferreira Soares ,ter. 17:00-18:50 (E233) / qui. 18:50-20:30 (E233) / sex. 17:00-18:50 (Grad03) /  sex. 18:50-20:30 (Grad03)
SI,,IF978- GESTÃO DE PROCESSOS DE NEGÓCIO,Jéssyka Vilela ,ter. 17:00-18:50 (E112) /  qui. 18:50-20:30 (E112)
Período: 4,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0141- LÓGICA PARA COMPUTAÇÃO,Fred Freitas ,seg. 17:00-18:50 (E122) /  qua. 18:50-20:30 (E122)
SI,,CIN0142- ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Maíra Araújo de Santana ,seg. 18:50-20:30 (E232) /  qua. 17:00-18:50 (E232)
SI,,CIN0143- INTRODUÇÃO A SISTEMAS DISTRIBUÍDOS E REDES DECOMPUTADORES,David Junio Mota Cavalcanti ,ter. 18:50-20:30 (Grad05) /  qui. 17:00-18:50 (Grad05)
SI,,CIN0144- APRENDIZADO DE MÁQUINA E CIÊNCIA DE DADOS,Juscimara Gomes Avelino  / Rodrigo Gabriel Ferreira Soares ,ter. 17:00-18:50 (E233) / qui. 18:50-20:30 (E233) / sex. 17:00-18:50 (Grad03) /  sex. 18:50-20:30 (Grad03)
SI,,IF978- GESTÃO DE PROCESSOS DE NEGÓCIO,Jéssyka Vilela ,ter. 17:00-18:50 (E112) /  qui. 18:50-20:30 (E112)
Período: 5,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,CIN0183- EMPREENDIMENTOS EM INFORMÁTICA,Paulo Adeodato ,seg. 17:00-18:50 (E113) /  seg. 18:50-20:30 (E113)
SI,,CIN0184- ASPECTOS SÓCIO-ECONÔMICOS DE SISTEMAS DE INFORMAÇÃO,José Carlos Cavalcanti ,qua. 17:00-18:50 (E122) /  sex. 18:50-20:30 (E122)
SI,,CGA0002- ADMINISTRAÇÃO CONTEMPORÂNEA,Claudemir Inacio dos Santos ,ter. 18:50-20:30 (E132) /  sex. 17:00-18:50 (E132)
SI,,"CIN0193 – GESTÃO DE DADOS, INFORMAÇÃO E CONHECIMENTO",Paulemir Gonçalves Campos ,seg. 18:50-20:30 (E112) /  qui. 17:00-18:50 (E112)
SI,,CO691- COMUNICAÇÃO TÉCNICA E CIENTÍFICA,Alexandre Marcos Lins de Vasconcelos ,seg. 17:00-18:50 (E232) /  qua. 18:50-20:30 (E232)
Período: 6,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,IF985- PROJETO DE SISTEMA DE INFORMAÇÃO,Giordano Cabral ,seg. 17:00-18:50 (Grad05) /  qui. 18:50-20:30 (Grad05)
Período: 7,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,IF987- AUDITORIA E SEGURANÇA DE SISTEMAS DE INFORMAÇÃO,Carla Silva Schuenemann ,ter. 17:00-18:50 (E113) /  qui. 18:50-20:30 (E113)
SI,,AD432- ESTRATÉGIA E PLANEJAMENTO,Gabriela Figueiredo Dias ,ter. 18:50-20:30 (E131) /  qui. 17:00-18:50 (E131)
Período: 8,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
SI,,IF989- TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO,Simone Cristiane dos Santos Lima ,ter. 18:50-20:30 (Grad04) /  qui. 17:00-18:50 (Grad02)
SI,,IF990- TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,Filipe Calegário , sáb. 07:00-11:50 sáb. 13:00-17:50
